,offensiveYN,postId,annId,baseline,expl_baseline,race_political,expl_race_political,demographics,winner
16,0,668,64721988,1,[the sentence is offensive][because][it contains a racial slur and a derogatory term for people of low socioeconomic status],1,[the sentence is offensive][because][it contains a racial slur and perpetuates a negative stereotype about the lack of opportunities for young black people],"{'race': 'black', 'political': 'liberal'}",neither
17,0,668,3770894,1,[the sentence is offensive][because][it contains a racial slur and a derogatory term for people of low socioeconomic status],1,[the sentence is offensive][because][it contains a racial slur and perpetuates a negative stereotype about the lack of opportunities for young black people],"{'race': 'black', 'political': 'liberal'}",neither
18,0,2815,3770894,0,[the sentence is not offensive][because][it is a conversation between kids and one of them is expressing a personal opinion about a song],0,[the sentence is not offensive][because][it is a conversation between kids and does not contain any hate speech or explicit language],"{'race': 'black', 'political': 'liberal'}",both
19,0,2815,10166032,0,[the sentence is not offensive][because][it is a conversation between kids and one of them is expressing a personal opinion about a song],0,[the sentence is not offensive][because][it is a neutral conversation between kids about a song],"{'race': 'black', 'political': 'neutral'}",both
20,0,3317,10638687,0,[the sentence is not offensive][because][it is a quote from a famous person and the language used is informal but not derogatory],0,[the sentence is not offensive][because][it is a quote from a famous person and the language used is a quote from a famous person],"{'race': 'black', 'political': 'liberal'}",both
21,1,3317,74158862,0,[the sentence is not offensive][because][it is a quote from a famous person and the language used is informal but not derogatory],0,[the sentence is not offensive][because][it is a statement of self-confidence and critical thinking],"{'race': 'black', 'political': 'conservative'}",neither
22,1,1721,3770894,1,[the sentence is offensive][because][it contains a racial slur and makes a derogatory comment about the history of slavery],1,[the sentence is offensive][because][it contains a racial slur and downplays the historical oppression of black people],"{'race': 'black', 'political': 'liberal'}",both
23,1,1721,10166032,1,[the sentence is offensive][because][it contains a racial slur and makes a derogatory comment about the history of slavery],1,[the sentence is offensive][because][it contains a racial slur and downplays the historical context of slavery],"{'race': 'black', 'political': 'neutral'}",both
24,0,3410,10638687,1,[the sentence is offensive][because][it contains explicit language and the use of the word 'fuckin' is considered profane],1,[the sentence is offensive][because][it contains explicit language and a derogatory term],"{'race': 'black', 'political': 'liberal'}",neither
25,1,1710,49021087,1,[the sentence is offensive][because][it contains hate speech and makes a threat against a political group],1,[the sentence is offensive][because][it contains hate speech and makes a derogatory comparison between political groups],"{'race': 'black', 'political': 'liberal'}",both
26,1,1710,10166032,1,[the sentence is offensive][because][it contains hate speech and makes a threat against a political group],1,[the sentence is offensive][because][it contains hate speech and makes a derogatory comparison between political groups],"{'race': 'black', 'political': 'neutral'}",both
27,0,2317,3088028,0,[the sentence is not offensive][because][it is a criticism of the actors in a tv show],0,[the sentence is not offensive][because][it is a criticism of a tv show and does not contain hate speech or explicit language],"{'race': 'black', 'political': 'liberal'}",both
28,0,2317,10166032,0,[the sentence is not offensive][because][it is a criticism of the actors in a tv show],0,[the sentence is not offensive][because][it is a neutral statement about criticism and personal boundaries],"{'race': 'black', 'political': 'neutral'}",both
29,1,949,49021087,1,[the sentence is offensive][because][it contains a derogatory term for people with intellectual disabilities],1,[the sentence is offensive][because][it contains a derogatory term for people with intellectual disabilities],"{'race': 'black', 'political': 'liberal'}",both
30,1,949,10638687,1,[the sentence is offensive][because][it contains a derogatory term for people with intellectual disabilities],1,[the sentence is offensive][because][it contains a derogatory term for people with intellectual disabilities],"{'race': 'black', 'political': 'liberal'}",both
31,1,876,10638687,1,[the sentence is offensive][because][it promotes racial discrimination],1,[the sentence is offensive][because][it promotes racial discrimination],"{'race': 'black', 'political': 'liberal'}",both
32,1,876,8526465,1,[the sentence is offensive][because][it promotes racial discrimination],1,[the sentence is offensive][because][it promotes racial discrimination],"{'race': 'black', 'political': 'neutral'}",both
33,1,1761,10638687,0,[the sentence is not offensive][because][it is a statement that argues against racism],0,[the sentence is not offensive][because][it is a statement that uses a racial slur in a context that is not derogatory],"{'race': 'black', 'political': 'liberal'}",neither
34,1,1761,35379134,0,[the sentence is not offensive][because][it is a statement that argues against racism],0,[the sentence is not offensive][because][it is a statement that uses a racial slur in a context that is not derogatory],"{'race': 'black', 'political': 'liberal'}",neither
35,1,1833,10638687,1,[the sentence is offensive][because][it contains a racial slur and derogatory language],1,[the sentence is offensive][because][it contains a racial slur and a derogatory term for a group of people],"{'race': 'black', 'political': 'liberal'}",both
36,1,1833,3770894,1,[the sentence is offensive][because][it contains a racial slur and derogatory language],1,[the sentence is offensive][because][it contains a racial slur and a derogatory term for a group of people],"{'race': 'black', 'political': 'liberal'}",both
37,0,2282,10638687,0,[the sentence is not offensive][because][it is a normal sentence about schoolwork],0,[the sentence is not offensive][because][it is a normal sentence about schoolwork],"{'race': 'black', 'political': 'liberal'}",both
38,0,2282,3770894,0,[the sentence is not offensive][because][it is a normal sentence about schoolwork],0,[the sentence is not offensive][because][it is a normal sentence about schoolwork],"{'race': 'black', 'political': 'liberal'}",both
39,1,3486,10166032,1,[the sentence is offensive][because][it contains derogatory language and a racial slur],1,[the sentence is offensive][because][it contains derogatory language and a racial slur],"{'race': 'black', 'political': 'neutral'}",both
40,1,722,10638687,1,[the sentence is offensive][because][it contains a racial slur],1,[the sentence is offensive][because][it contains a racial slur],"{'race': 'black', 'political': 'liberal'}",both
41,1,722,3770894,1,[the sentence is offensive][because][it contains a racial slur],1,[the sentence is offensive][because][it contains a racial slur],"{'race': 'black', 'political': 'liberal'}",both
42,0,3668,49021087,0,[the sentence is not offensive][because][it is a colloquial way to express frustration and disappointment],0,[the sentence is not offensive][because][it is a colloquial way to express frustration and disappointment],"{'race': 'black', 'political': 'liberal'}",both
43,0,3668,10166032,0,[the sentence is not offensive][because][it is a colloquial way to express frustration and disappointment],0,[the sentence is not offensive][because][it is a colloquial way to express frustration and disappointment],"{'race': 'black', 'political': 'neutral'}",both
44,0,155,10638687,0,[the sentence is not offensive][because][it is a neutral statement about a political issue],0,[the sentence is not offensive][because][it is a neutral statement about a political issue],"{'race': 'black', 'political': 'liberal'}",both
45,1,2162,10638687,1,[the sentence is offensive][because][it contains a racial slur and explicit language],1,[the sentence is offensive][because][it contains a racial slur and explicit language],"{'race': 'black', 'political': 'liberal'}",both
46,1,2162,3770894,1,[the sentence is offensive][because][it contains a racial slur and explicit language],1,[the sentence is offensive][because][it contains a racial slur and explicit language],"{'race': 'black', 'political': 'liberal'}",both
47,1,2153,3770894,1,[the sentence is offensive][because][it contains hate speech and racial slurs],1,[the sentence is offensive][because][it contains hate speech and racial slurs],"{'race': 'black', 'political': 'liberal'}",both
48,1,2153,10166032,1,[the sentence is offensive][because][it contains hate speech and racial slurs],1,[the sentence is offensive][because][it contains hate speech and racial slurs],"{'race': 'black', 'political': 'neutral'}",both
49,1,4121,10166032,1,[the sentence is offensive][because][it contains hate language and derogatory terms towards women and racial slurs],1,[the sentence is offensive][because][it contains derogatory language towards women and uses a racial slur],"{'race': 'black', 'political': 'neutral'}",both
50,1,1641,10638687,1,[the sentence is offensive][because][it conveys a stereotypical message suggesting that black people are unintelligent and cannot understand certain conversations],1,[the sentence is offensive][because][it conveys a stereotypical message suggesting that black people are unintelligent and cannot understand certain conversations],"{'race': 'black', 'political': 'liberal'}",both
51,1,1641,3088028,1,[the sentence is offensive][because][it conveys a stereotypical message suggesting that black people are unintelligent and cannot understand certain conversations],1,[the sentence is offensive][because][it conveys a stereotypical message suggesting that black people are unintelligent and cannot understand certain conversations],"{'race': 'black', 'political': 'liberal'}",both
52,1,2155,10638687,1,[the sentence is offensive][because][it contains hate speech and uses derogatory language to describe a racial group],1,[the sentence is offensive][because][it contains a plethora of racial slurs and derogatory language],"{'race': 'black', 'political': 'liberal'}",both
53,1,2155,10166032,1,[the sentence is offensive][because][it contains hate speech and uses derogatory language to describe a racial group],1,[the sentence is offensive][because][it contains a plethora of racial slurs and derogatory language],"{'race': 'black', 'political': 'neutral'}",both
54,1,3455,10638687,1,[the sentence is offensive][because][it contains a derogatory term for a woman and implies that the woman is promiscuous],1,[the sentence is offensive][because][it contains a derogatory term for a woman and implies that she is promiscuous],"{'race': 'black', 'political': 'liberal'}",both
55,1,3455,10166032,1,[the sentence is offensive][because][it contains a derogatory term for a woman and implies that the woman is promiscuous],1,[the sentence is offensive][because][it contains a derogatory term for a woman and implies that she is promiscuous],"{'race': 'black', 'political': 'neutral'}",both
56,0,100,49021087,0,[the sentence is not offensive][because][it is a strong criticism but does not contain hate speech or explicit language],0,[the sentence is not offensive][because][it is a general statement about people's behavior],"{'race': 'black', 'political': 'liberal'}",both
57,1,100,10166032,0,[the sentence is not offensive][because][it is a strong criticism but does not contain hate speech or explicit language],0,[the sentence is not offensive][because][it is a general statement about people's behavior],"{'race': 'black', 'political': 'neutral'}",neither
58,1,3122,3770894,1,[the sentence is offensive][because][it contains hate speech and derogatory language towards a woman],1,[the sentence is offensive][because][it contains derogatory language and a stereotype about women],"{'race': 'black', 'political': 'liberal'}",both
59,1,3122,10166032,1,[the sentence is offensive][because][it contains hate speech and derogatory language towards a woman],1,[the sentence is offensive][because][it contains derogatory language and a stereotype about women],"{'race': 'black', 'political': 'neutral'}",both
60,0,3251,3770894,0,[the sentence is not offensive][because][it is a news report],0,[the sentence is not offensive][because][it is a news report],"{'race': 'black', 'political': 'liberal'}",both
61,0,3251,10166032,0,[the sentence is not offensive][because][it is a news report],0,[the sentence is not offensive][because][it is a news headline],"{'race': 'black', 'political': 'neutral'}",both
62,0,15,3088028,0,[the sentence is not offensive][because][it is a neutral statement],0,[the sentence is not offensive][because][it is a neutral statement about a person's profession],"{'race': 'black', 'political': 'liberal'}",both
63,0,15,10166032,0,[the sentence is not offensive][because][it is a neutral statement],0,[the sentence is not offensive][because][it is a neutral statement about a person's profession],"{'race': 'black', 'political': 'neutral'}",both
64,1,3498,10638687,1,[the sentence is offensive][because][it contains explicit language and a derogatory term for a woman's genitalia],1,[the sentence is offensive][because][it contains explicit language and a derogatory term for a woman's genitalia],"{'race': 'black', 'political': 'liberal'}",both
65,1,3498,10166032,1,[the sentence is offensive][because][it contains explicit language and a derogatory term for a woman's genitalia],1,[the sentence is offensive][because][it contains explicit language and a derogatory term for a woman's genitalia],"{'race': 'black', 'political': 'neutral'}",both
66,1,847,10638687,1,[the sentence is offensive][because][it contains hate speech and promotes violence against a racial group],1,[the sentence is offensive][because][it contains a hate message and promotes violence against a racial group],"{'race': 'black', 'political': 'liberal'}",both
67,1,847,3770894,1,[the sentence is offensive][because][it contains hate speech and promotes violence against a racial group],1,[the sentence is offensive][because][it contains a hate message and promotes violence against a racial group],"{'race': 'black', 'political': 'liberal'}",both
68,1,1546,10638687,1,[the sentence is offensive][because][it contains a racial slur and promotes a negative stereotype about black people],1,[the sentence is offensive][because][it contains a racial slur and promotes a negative stereotype about black people],"{'race': 'black', 'political': 'liberal'}",both
69,0,1546,10166032,1,[the sentence is offensive][because][it contains a racial slur and promotes a negative stereotype about black people],1,[the sentence is offensive][because][it contains a racial slur and promotes a negative stereotype about black people],"{'race': 'black', 'political': 'neutral'}",neither
70,0,2722,8526465,0,[the sentence is not offensive][because][it is a political statement that uses strong language but does not contain hate speech or explicit language],0,[the sentence is not offensive][because][it is a political statement that uses a racial slur in a context that is not derogatory],"{'race': 'black', 'political': 'neutral'}",both
71,0,2722,10166032,0,[the sentence is not offensive][because][it is a political statement that uses strong language but does not contain hate speech or explicit language],0,[the sentence is not offensive][because][it is a political statement that uses a racial slur in a context that is not derogatory],"{'race': 'black', 'political': 'neutral'}",both
72,0,2240,3770894,0,[the sentence is not offensive][because][it is a sports schedule],0,[the sentence is not offensive][because][it is a sports schedule],"{'race': 'black', 'political': 'liberal'}",both
73,0,2240,10166032,0,[the sentence is not offensive][because][it is a sports schedule],0,[the sentence is not offensive][because][it is a sports schedule],"{'race': 'black', 'political': 'neutral'}",both
74,1,1632,10638687,1,[the sentence is offensive][because][it promotes hate speech against a particular race],1,[the sentence is offensive][because][it promotes racial discrimination and hate speech],"{'race': 'black', 'political': 'liberal'}",both
75,1,1632,10166032,1,[the sentence is offensive][because][it promotes hate speech against a particular race],1,[the sentence is offensive][because][it promotes racial discrimination and hate speech],"{'race': 'black', 'political': 'neutral'}",both
76,0,2349,10638687,0,[the sentence is not offensive][because][it is a neutral statement about public discourse],0,[the sentence is not offensive][because][it is a neutral statement about public discourse],"{'race': 'black', 'political': 'liberal'}",both
77,0,2349,10166032,0,[the sentence is not offensive][because][it is a neutral statement about public discourse],0,[the sentence is not offensive][because][it is a neutral statement about public speaking and the right to reply],"{'race': 'black', 'political': 'neutral'}",both
78,0,2992,3770894,0,[the sentence is not offensive][because][it is an expression of frustration],0,[the sentence is not offensive][because][it is a common expression of frustration],"{'race': 'black', 'political': 'liberal'}",both
79,0,2992,10166032,0,[the sentence is not offensive][because][it is an expression of frustration],0,[the sentence is not offensive][because][it is a common expression of frustration],"{'race': 'black', 'political': 'neutral'}",both
80,1,1663,10638687,1,[the sentence is offensive][because][it contains a racial slur and a stereotype],1,[the sentence is offensive][because][it contains a racial slur and a stereotype about the place where black people belong],"{'race': 'black', 'political': 'liberal'}",both
81,1,1663,3088028,1,[the sentence is offensive][because][it contains a racial slur and a stereotype],1,[the sentence is offensive][because][it contains a racial slur and a stereotype about the place where black people belong],"{'race': 'black', 'political': 'liberal'}",both
82,1,613,10638687,1,[the sentence is offensive][because][it contains a list of hate speech and derogatory terms for various groups of people],1,[the sentence is offensive][because][it contains a list of hate speech and derogatory terms for various racial and ethnic groups and sexual orientations],"{'race': 'black', 'political': 'liberal'}",both
83,1,613,10166032,1,[the sentence is offensive][because][it contains a list of hate speech and derogatory terms for various groups of people],1,[the sentence is offensive][because][it contains a list of hate speech and derogatory terms for various racial and ethnic groups and sexual orientations],"{'race': 'black', 'political': 'neutral'}",both
84,0,2320,3770894,0,[the sentence is not offensive][because][it is a motivational quote],0,[the sentence is not offensive][because][it is a motivational quote],"{'race': 'black', 'political': 'liberal'}",both
85,0,2320,10166032,0,[the sentence is not offensive][because][it is a motivational quote],0,[the sentence is not offensive][because][it is a motivational quote],"{'race': 'black', 'political': 'neutral'}",both
86,1,3558,10638687,1,[the sentence is offensive][because][it contains hate speech and abusive language],1,[the sentence is offensive][because][it contains hate language and a racial slur],"{'race': 'black', 'political': 'liberal'}",both
87,1,3558,10166032,1,[the sentence is offensive][because][it contains hate speech and abusive language],1,[the sentence is offensive][because][it contains hate language and a racial slur],"{'race': 'black', 'political': 'neutral'}",both
88,0,500,3088028,0,[the sentence is not offensive][because][it is a metaphorical expression],0,[the sentence is not offensive][because][it is a subjective opinion about plums],"{'race': 'black', 'political': 'liberal'}",both
89,1,500,10166032,0,[the sentence is not offensive][because][it is a metaphorical expression],0,[the sentence is not offensive][because][it is a subjective opinion about plums],"{'race': 'black', 'political': 'neutral'}",neither
90,1,3237,74158862,0,[the sentence is not offensive][because][it is a lighthearted and playful conversation between two people],0,[the sentence is not offensive][because][it is a lighthearted and playful conversation between two people],"{'race': 'black', 'political': 'conservative'}",neither
91,0,3237,10166032,0,[the sentence is not offensive][because][it is a lighthearted and playful conversation between two people],0,[the sentence is not offensive][because][it is a lighthearted and playful conversation between two people],"{'race': 'black', 'political': 'neutral'}",both
92,1,2656,10638687,1,[the sentence is offensive][because][it contains hate speech and derogatory language towards politicians and a religious group],0,[the sentence is not offensive][because][it is a metaphorical expression of the politicians' actions],"{'race': 'black', 'political': 'liberal'}",baseline
93,1,2656,10166032,1,[the sentence is offensive][because][it contains hate speech and derogatory language towards politicians and a religious group],0,[the sentence is not offensive][because][it is a metaphorical expression of the politicians' actions and does not contain any hate speech or explicit language],"{'race': 'black', 'political': 'neutral'}",baseline
94,0,3431,10638687,0,[the sentence is not offensive][because][it is a positive comment about a song],0,[the sentence is not offensive][because][it is a positive comment about a song],"{'race': 'black', 'political': 'liberal'}",both
95,0,3431,3770894,0,[the sentence is not offensive][because][it is a positive comment about a song],0,[the sentence is not offensive][because][it is a positive comment about a song],"{'race': 'black', 'political': 'liberal'}",both
96,0,3348,10166032,0,[the sentence is not offensive][because][it is a casual conversation about a personal experience and does not contain any explicit language or hate speech],0,[the sentence is not offensive][because][it is a casual conversation about a personal experience and does not contain any hate speech or explicit language],"{'race': 'black', 'political': 'neutral'}",both
97,1,2104,49021087,1,[the sentence is offensive][because][it conveys a racist message and contains derogatory language],1,[the sentence is offensive][because][it conveys a discriminatory message against black people],"{'race': 'black', 'political': 'liberal'}",both
98,1,2104,10638687,1,[the sentence is offensive][because][it conveys a racist message and contains derogatory language],1,[the sentence is offensive][because][it conveys a discriminatory message against black people],"{'race': 'black', 'political': 'liberal'}",both
99,1,810,10638687,1,[the sentence is offensive][because][it contains a reference to the holocaust and promotes anti-semitic views],1,[the sentence is offensive][because][it contains a reference to the holocaust and promotes anti-semitic views],"{'race': 'black', 'political': 'liberal'}",both
100,1,810,10166032,1,[the sentence is offensive][because][it contains a reference to the holocaust and promotes anti-semitic views],1,[the sentence is offensive][because][it contains a reference to a historical event that is widely regarded as a genocide and uses a derogatory term for jewish people],"{'race': 'black', 'political': 'neutral'}",both
101,0,3699,8526465,1,[the sentence is offensive][because][it contains explicit language and a derogatory term for women],1,[the sentence is offensive][because][it contains explicit language and a derogatory term for women],"{'race': 'black', 'political': 'neutral'}",neither
102,1,3699,10166032,1,[the sentence is offensive][because][it contains explicit language and a derogatory term for women],1,[the sentence is offensive][because][it contains explicit language and a derogatory term for women],"{'race': 'black', 'political': 'neutral'}",both
103,1,1381,10638687,1,[the sentence is offensive][because][it contains a racial slur and makes a derogatory comparison between cats and a racial group],1,[the sentence is offensive][because][it contains a racial slur and makes a derogatory comparison between cats and black people],"{'race': 'black', 'political': 'liberal'}",both
104,1,1381,10166032,1,[the sentence is offensive][because][it contains a racial slur and makes a derogatory comparison between cats and a racial group],1,[the sentence is offensive][because][it contains a racial slur and makes a derogatory comparison between cats and black people],"{'race': 'black', 'political': 'neutral'}",both
105,1,1725,10638687,1,"[the sentence is offensive][because][it contains racial slurs and stereotypes, including the use of the term 'whiteaho' to describe a predominantly white area, and derogatory terms for black and mexican people]",1,"[the sentence is offensive][because][it contains racial slurs and stereotypes, including the use of the term 'whiteaho' to describe a predominantly white area, and the derogatory term 'wetbacks' to describe mexican immigrants]","{'race': 'black', 'political': 'liberal'}",both
106,1,1725,10166032,1,"[the sentence is offensive][because][it contains racial slurs and stereotypes, including the use of the term 'whiteaho' to describe a predominantly white area, and derogatory terms for black and mexican people]",1,"[the sentence is offensive][because][it contains racial slurs and stereotypes, including the use of the term 'whiteaho' to describe a predominantly white area, and the derogatory term 'wetbacks' to describe mexican immigrants]","{'race': 'black', 'political': 'neutral'}",both
107,1,1574,8526465,1,[the sentence is offensive][because][it contains a racial stereotype and a negative generalization about a group of people],1,[the sentence is offensive][because][it contains a racial stereotype and a negative generalization about a racial group],"{'race': 'black', 'political': 'neutral'}",both
108,1,1574,10166032,1,[the sentence is offensive][because][it contains a racial stereotype and a negative generalization about a group of people],1,[the sentence is offensive][because][it contains a racial stereotype and a negative generalization about a racial group],"{'race': 'black', 'political': 'neutral'}",both
109,0,3319,10638687,0,[the sentence is not offensive][because][it is a lighthearted and playful conversation between two people],0,[the sentence is not offensive][because][it is a colloquial way to express frustration],"{'race': 'black', 'political': 'liberal'}",both
110,0,3319,3770894,0,[the sentence is not offensive][because][it is a lighthearted and playful conversation between two people],0,[the sentence is not offensive][because][it is a colloquial way to express frustration],"{'race': 'black', 'political': 'liberal'}",both
111,1,1736,10638687,1,[the sentence is offensive][because][it contains hate speech and racial slurs],1,[the sentence is offensive][because][it contains hate speech and racial slurs],"{'race': 'black', 'political': 'liberal'}",both
112,1,1736,10166032,1,[the sentence is offensive][because][it contains hate speech and racial slurs],1,[the sentence is offensive][because][it contains hate speech and racial slurs],"{'race': 'black', 'political': 'neutral'}",both
113,1,1138,10638687,1,[the sentence is offensive][because][it contains hate speech and a racial slur],1,[the sentence is offensive][because][it contains hate speech and a racial slur],"{'race': 'black', 'political': 'liberal'}",both
114,1,1138,10166032,1,[the sentence is offensive][because][it contains hate speech and a racial slur],1,[the sentence is offensive][because][it contains hate speech and a racial slur],"{'race': 'black', 'political': 'neutral'}",both
115,0,2931,10638687,0,[the sentence is not offensive][because][it is a comment about a song and contains mild profanity],0,[the sentence is not offensive][because][it is a comment about a song and contains a mild profanity],"{'race': 'black', 'political': 'liberal'}",both
116,0,2931,10166032,0,[the sentence is not offensive][because][it is a comment about a song and contains mild profanity],0,[the sentence is not offensive][because][it is a neutral comment about a song],"{'race': 'black', 'political': 'neutral'}",both
117,0,3365,3088028,0,[the sentence is not offensive][because][it is a quote from the bible],0,[the sentence is not offensive][because][it is a quote from the bible],"{'race': 'black', 'political': 'liberal'}",both
118,0,3365,3770894,0,[the sentence is not offensive][because][it is a quote from the bible],0,[the sentence is not offensive][because][it is a quote from the bible],"{'race': 'black', 'political': 'liberal'}",both
119,0,3518,10638687,0,[the sentence is not offensive][because][it is a colloquial way to express frustration],0,[the sentence is not offensive][because][it is a colloquial way to express frustration],"{'race': 'black', 'political': 'liberal'}",both
120,0,3518,10166032,0,[the sentence is not offensive][because][it is a colloquial way to express frustration],0,[the sentence is not offensive][because][it is a colloquial way to express frustration and contains mild profanity],"{'race': 'black', 'political': 'neutral'}",both
121,1,3483,10638687,1,[the sentence is offensive][because][it uses a racial slur],1,[the sentence is offensive][because][it uses a racial slur 'nigga' in a derogatory manner],"{'race': 'black', 'political': 'liberal'}",both
122,1,1656,3088028,1,[the sentence is offensive][because][it contains hate speech and racial slurs],1,[the sentence is offensive][because][it contains a racial slur and promotes stereotypes about black people],"{'race': 'black', 'political': 'liberal'}",both
123,1,1656,10166032,1,[the sentence is offensive][because][it contains hate speech and racial slurs],1,[the sentence is offensive][because][it contains a racial slur and promotes stereotypes about black people],"{'race': 'black', 'political': 'neutral'}",both
124,1,1522,10638687,1,[the sentence is offensive][because][it contains hate language and makes a threat of violence],1,[the sentence is offensive][because][it contains hate language and makes a threat of violence],"{'race': 'black', 'political': 'liberal'}",both
125,1,1522,3770894,1,[the sentence is offensive][because][it contains hate language and makes a threat of violence],1,[the sentence is offensive][because][it contains hate language and makes a threat of violence],"{'race': 'black', 'political': 'liberal'}",both
126,1,1705,8526465,1,[the sentence is offensive][because][it contains a racial slur and promotes a discriminatory attitude],1,[the sentence is offensive][because][it contains a racial slur and makes a generalization about a group of people],"{'race': 'black', 'political': 'neutral'}",both
127,0,1705,10166032,1,[the sentence is offensive][because][it contains a racial slur and promotes a discriminatory attitude],1,[the sentence is offensive][because][it contains a racial slur and makes a generalization about a group of people],"{'race': 'black', 'political': 'neutral'}",neither
128,0,3620,10638687,1,[the sentence is offensive][because][it contains explicit language and implies substance abuse],1,[the sentence is offensive][because][it contains explicit language and implies substance abuse],"{'race': 'black', 'political': 'liberal'}",neither
129,0,3620,3770894,1,[the sentence is offensive][because][it contains explicit language and implies substance abuse],1,[the sentence is offensive][because][it contains explicit language and implies substance abuse],"{'race': 'black', 'political': 'liberal'}",neither
130,0,2685,49021087,0,[the sentence is not offensive][because][it is a song lyric],0,[the sentence is not offensive][because][it is a song lyric],"{'race': 'black', 'political': 'liberal'}",both
131,0,2685,10638687,0,[the sentence is not offensive][because][it is a song lyric],0,[the sentence is not offensive][because][it is a song lyric],"{'race': 'black', 'political': 'liberal'}",both
132,1,673,3088028,1,[the sentence is offensive][because][it contains hate speech and a racial slur],1,[the sentence is offensive][because][it contains hate speech and a racial slur],"{'race': 'black', 'political': 'liberal'}",both
133,1,673,10166032,1,[the sentence is offensive][because][it contains hate speech and a racial slur],1,[the sentence is offensive][because][it contains hate speech and a racial slur],"{'race': 'black', 'political': 'neutral'}",both
134,1,2175,10638687,1,[the sentence is offensive][because][it contains a racial slur and a threat],1,[the sentence is offensive][because][it contains a racial slur and a threat],"{'race': 'black', 'political': 'liberal'}",both
135,1,2175,8526465,1,[the sentence is offensive][because][it contains a racial slur and a threat],1,[the sentence is offensive][because][it contains a racial slur and a threat],"{'race': 'black', 'political': 'neutral'}",both
136,0,49,8526465,1,[the sentence is offensive][because][it contains a message that is harmful to the lgbtq+ community and marginalizes women loving women],0,"[the sentence is not offensive][because][it is a critique of a song with a harmful message, but the critique is respectful and does not contain hate speech or explicit language]","{'race': 'black', 'political': 'neutral'}",race_political
