,offensiveYN,HITId,WorkerId,post
7930,0.5,3NQUW096N62L6LNDZLT0FAIXEMXL98,446815182533233009,Well he was wearing a hoodie... at night... in a gated community.
7609,1.0,3R4QIDVOJP6OVB42QAMIUTTOUB9EEX,-7945328595909653965,went to a paris restaurant for snails today . <repeat> pretty disappointed . <repeat> came out with a gut full of slugs .
3274,0.0,3IYI9285WSUH9T6G8KRE1L6DE9PCJO,-4903257119943710595,"I held a bingo game in Iraq. When I said,""B-52!"". everyone left."
7778,1.0,3TL87MO8CMJU7VEQ27TSP648HKSFLU,-8112240862397798182,You're pretty for a black girl.
4368,1.0,3T8DUCXY0N09PYVI8UVR11SE6RLT93,-7090297418013232722,"Niggers pulling up in new whips these days. Back in my day, we used to hit them with 'em."
7162,1.0,3KI0JD2ZU1CZ9HWDXKPECV9UMG767J,-450836770736143243,what do you call an ethiopian athlete who uses steroids ? lance no - armstrong
39,1.0,30U1YOGZGAQKDOVKVAV3DSFIW8EDS2,5330619308534303933,That bitch got 5 million boyfriends
4706,1.0,3GONHBMNHVSKIUNB3VOESBZFROBZMP,-2238863521358699827,"The slogan on the entrance of Auschwitz was the well-known ""work sets you free"". But what was the slogan at the exit? ""Hot surface. Do not touch."""
2592,1.0,3B0MCRZMBROWPTII82I4IHRWMPCPPD,-3114316428557054065,RT @bubblestbh: When bae says somethin that pisses you off but you're trying to not to be crazy anymore https://t.co/iYDsEokR1x
7894,1.0,3OJX0UFJ0Z1OPBA78ZL16XEGRDQ9UQ,7067515179960755087,"I'm not going to screen you for STDs because you aren't really at risk as a lesbian. But then again, I don't really know how you people have sex."
10101,0.0,3HRWUH63QUWSTYOM88WYGMHKYQ65N6,980292540985390308,"Woman takes advantage of her husband, performs deviant act on him despite him saying he was against it beforehand (practically rape)"
7300,1.0,3JMNNNO3B1YQHVEDIQLNEYRZZB1W2Z,-3114316428557054065,why are blacks the most common users of vine ? because it brings them back to when they were swinging on the vines <number> years ago .
7458,1.0,35F6NGNVM8D5BF7PTXX7N5186X6T7N,-4671295340405687436,i date women like i like my eggs in the morning . <repeat> whites only
10206,0.0,3GVPRXWRPHOF21REZLY39YZZ3X97I9,-4972502847858722232,Do they ever get tired of finding excuses to link here?
9972,0.0,36JW4WBR06ESLZV0BMEUXEB118AHFR,-5471608738051449110,"I think I'm gonna cry again
Another NYE alone

I hate my life so much 

Where's my New Year's Kiss and party 

Fuck"
9021,1.0,3TX9T2ZCB9VGN6HP7XU11916SZZWZ8,-4210633818511154946,"All the jews I have ever known will do anything for money , and all I can say is there are no good jews"
1655,0.0,3MIVREZQVHSGEEMHVNSLM5V7ZUWKQ6,-1638570835356793490,Whelp gotta simplify the control scheme because my original media is gone forever that or I spend a year remaking my first album.
6705,0.0,367O8HRHKG27DSCR2ZUAAOLCKT6S4M,4224836053735053558,"Enjoyed ""Wild,"" digging the female-centered story, wish we made more nuanced, deep stories like it with nonwhite casts."
4040,1.0,3UQVX1UPFSBX95DSPJS273IV3AE208,1993680211374950203,How did the Jews react when WW II was over? They were so gassed
4829,1.0,32L724R85LE487VEV7SK9KQK0GLPIF,-3114316428557054065,What do you call a Jew with autism? Auschwistic
7862,,3JYPJ2TAYI2KYGTOUZMZ6NDSMUSPF1,1970909591341798263,"We're very sorry if we offended you. This was very uncomfortable for us. The problem was not you, G-d forbid, but that your relationship would become a topic at the Shabbos table that might cause our other guests discomfort and confuse our children. Again we apologize for offending you. Shabbat Shalom."
8273,0.0,3MJ9GGZYO30TAIBAHLPVW9U8F832A3,-8112240862397798182,"WH statement: ""ANY DEAL ON DACA MUST END CHAIN MIGRATION, ELIMINATE THE VISA LOTTERY, AND FULLY SECURE THE BORDER, INCLUDING WITH A WALL."""
500,0.5,3XU80RHWHZAOB7AGCYYSCL565H244X,-4210633818511154946,i want a dyke clique
7822,0.0,3D0LPO3EABT8D7YIKP1868FII0MOYG,-4972502847858722232,Bad management decisions could easily blow any amount of money.
2963,1.0,3L2OEKSTW945SFB2D8CC9MPI1LCY8V,1970909591341798263,You used to be able to walk into a shop with £2.00 and leave with all you could possibly need. Now all the blacks are beating us to it.
4337,1.0,3L7SUC0TTUONG9HLZ1BMMCWT9FVM0J,1664464732976706798,When two fat American's have sex it's... MISSIONARY IMPOSSIBLE.
10078,1.0,31S7M7DAGGK4Q0WRXRYH6AJ99YSLTB,8789702980570783632,"The sub is so much better when it's private
You don't have to fight with normans in every post"
4193,0.5,3WJGKMRWVI34676OYO53YNB09Q0DCL,-1638570835356793490,"How many soldiers do you need to defend Paris against the Germans? I don't know, they never tried."
311,1.0,3MDWE879UHW9TC11884617MS1ZIB9N,-6352039173957003457,"just like i made you hoes come for me , i can make yall go away &#128080;&#9996;&#65039;"
9022,1.0,3TX9T2ZCB9VGN6HP7XU11916SZZWZ8,-4210633818511154946,"All the jews I have ever known will do anything for money , and all I can say is there are no good jews"
1599,0.0,3909MD9T2ZBG1P4YLL6OCBEO8VRFEN,-4903257119943710595,"The store had a good sale! It was Monday! I knew it was evil, but I didn't suspect Kardashian-level horror was coming!"
7676,1.0,3UZUVSO3P7PM7ZWF78A171YX3D0EMM,-6806223206028346267,what 's the difference between an ariana grande concert and a faggot ? faggots bang in the end and ariana grande ends in a bang .
5202,1.0,3ZURAPD288HHHOAM9XB95RVUH8TF1G,1869048359460155317,Did you hear that they transformed Madame Tussauds into a place where children get beaten? It's a whacks museum
2109,0.0,33K3E8REWWPGSALS8CQAQ8I9ZFLX8R,-5471608738051449110,"I never look away; I want to stare into your face, The gentle look away; I let my true feelings be sitting here trying to"
9709,0.5,3UY4PIS8QRFT5GN37LUMDW43MAZ1NI,-7297283282402353981,"Are you guys tired of being lumped in with rich old white men in politics and in business, while you toil away and live from paycheck to paycheck?"
4808,1.0,34R3P23QHSVUWLHV1BOU12X1T09HW9,5330619308534303933,What does a black man do after sex with a white woman 25 too life
4582,1.0,39O0SQZVJN1SV0UXP8SCNQ0QNIXR7D,-4903257119943710595,"What do you do when your daughter starts wearing short skirts? Beat the shit out of your wife, as she was the one who let her wear clothes."
