annId,postId,tweet,dialAm,vulgar,targetsBlackPeople,isAAE,annotatorAge,annotatorGender,annotatorMinority,annotatorPolitics,annotatorRace,intent,racist,toany,toyou,off_avg,offensiveYN,annotatorPoliticsBinary
98987708,3455,How you get mad at me cause I'm wit somebody else ain't nobody tell you to go be a hoe wen I was wit you,aae,True,False,True,40.0,woman,{},0.5,white,5,1,3,4,3.5,1,conservative
10638687,660,"Someone told me ""I'd rather cut myself than being a woman, women are all fuckable bitches with tits"". I can't believe someone would think like that!",white,True,False,False,40.0,woman,{},-0.5,black,5,1,5,5,5.0,1,liberal
3088028,1476,K-pop is being used as a tool by afros to manipulate the masses. They are using international pressure to support this nonsense. Their goal is to create an afro state in the USA and a spic state. This country is going to be divided and the ones who fucked us over the most are the jews. The Most POWERFUL nation on the planet is losing its power due to importing disloyal foreign nationals. Nation of immigrants my ass.,white,True,False,False,30.0,woman,{},-0.5,black,5,5,5,5,5.0,1,liberal
61283819,1850,"British native youth have completely given in to nigger culture, music and customs and constantly encourage miscegenation. In fact they are already starting to talk like the blacks. They need guidance thats for sure",white,True,True,False,35.0,man,,1.0,white,3,5,5,3,4.0,1,conservative
10166032,3379,switching lanes but ion got no gears:no_entry_sign::dash: shawty said she wanna ride but she don't know how to steer:man_facepalming_medium-light_skin_tone::put_litter_in_its_place:,aae,False,False,True,45.0,man,{},0.0,black,1,1,1,1,1.0,0,neutral
72105794,2807,Trump is a syphilis brain addled idiot Jackson dueled for his wife's honor Trump has no respect for his wife or any woman but his daughter,white,False,False,False,35.0,man,{},-0.5,white,5,1,4,4,4.0,1,liberal
92024956,2221,Fuck it y'all do what y'all want but once this sub go down ik me and that niggas got her shit and we got her private messages that nobody else got,aae,True,True,True,35.0,man,"pansexual, disabled, trans",-1.0,black,1,1,4,1,2.5,0,liberal
35508468,3307,"I ain't with the buggin' She get pissed off, did wrong & dipped on! Haaaa",aae,False,False,True,40.0,man,,0.5,white,3,1,2,2,2.0,0,conservative
5171967,3378,"I'm listening to Since 17 by iLoveMakonnen on Spinrilla.:dizzy_face:won't send me beats no mo:fearful:got dat purple,what u mean.Florida,check my shoes Gator",aae,False,False,True,40.0,man,immigrant,-0.5,white,4,3,4,4,4.0,1,liberal
40321857,3291,"Seen a vid of a man who girl was cheating, so he decided to expose her by proposing at her job, then have her side dude walk in...",aae,False,False,True,40.0,woman,{},0.0,white,1,1,1,1,1.0,0,neutral
15918959,3234,"""I like to think that I have thick skin, but if someone texts me """"k"""" they immediately become dead to me""",aae,False,False,True,35.0,man,{},0.5,white,4,4,2,3,2.5,0,conservative
43606178,1697,"Is it even proven that we looked like big orangutans? They're most closely related to orangutans but the split happened an extremely long time ago, even before the split between gorillas and humans. Obviousy a large dark section of the population never made this split !",white,False,True,False,30.0,man,,-0.5,black,5,5,5,5,5.0,1,liberal
74158862,3333,Shoot like the coach gave you green light from anywhere even if yo shot look like Shaqs keep shooting away :joy::joy:,aae,False,False,True,45.0,man,NONE,1.0,black,3,4,3,4,3.5,1,conservative
24252197,733,yids are not as honest as the rest of us,white,False,False,False,30.0,man,{},-0.5,black,5,3,5,5,5.0,1,liberal
8526465,95,I'm not going to let social distancing ruin my fun,hispanic,False,False,False,35.0,man,{},0.0,black,2,1,2,2,2.0,0,neutral
74158862,3509,if u ever feel bad bc u broke a fuckboy's heart chill bc he ain't got a heart,aae,False,False,True,45.0,man,NONE,1.0,black,3,2,5,3,4.0,1,conservative
43606178,1104,KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE KIKE *retarded screeching* Such a lovely word!,hispanic,True,False,False,30.0,man,,-0.5,black,5,5,5,5,5.0,1,liberal
32677126,3302,"""I showed him a picture of 21 savage and he said """"yeah he looked like that"""". I think my dad just met 21 savage.""",aae,False,False,True,35.0,man,Veteran,-1.0,white,1,1,1,1,1.0,0,liberal
58008422,618,This is a big fuck you to the community of people who use the word 'tranny' and all its enablers,white,True,False,False,60.0,man,,1.0,white,4,1,4,4,4.0,1,conservative
6690712,85,"""We, Ahmadi Muslims, arent here to cause you any disturbance but instead we are here to serve, we are here to share with you the community, to join you in your activities, and live peacefully and happily among you.""",white,False,False,False,40.0,woman,{},-0.5,white,1,1,1,1,1.0,0,liberal
3088028,1547,"We are burning the Black Lives Matter sign. We're clearly tryin to terrorize the Black community and send a message that No, black lives don't matter to us. We will never allow you to have equal rights. We will use violence to keep you down.",white,False,True,False,30.0,woman,{},-0.5,black,5,5,5,5,5.0,1,liberal
27672101,664,"So true, fucking pricks called my disabled brother a retard",white,True,False,False,25.0,woman,{},-1.0,black,5,4,5,5,5.0,1,liberal
5171967,883,"Dear Jews, think twice before you pass by me, and that's a threat!",white,False,False,False,40.0,man,immigrant,-0.5,white,5,5,4,5,4.5,1,liberal
41829545,670,she has text Rob and said she's not coming into the shop because she's too tired. Too tired from doing what???!!! Nothing!!! What a fucking bitch! Feel sorry for whoever has to work for her!!! Xx,hispanic,True,False,False,45.0,woman,{},-1.0,white,5,1,5,5,5.0,1,liberal
48349576,1370,I feel autistic so *utmost also fuck you and that ginger fag from minnesota,white,True,False,False,35.0,woman,{},-0.5,white,5,1,5,4,4.5,1,liberal
44250250,3446,"""""""You ain't shit"""" BUT been on my own since I was 18, have my own home, own my own vehicle, and work a full time job...& raising a 2 year old:upside__down_face:""",aae,True,False,True,30.0,man,{},0.5,white,2,1,2,2,2.0,0,conservative
3088028,673,"""I fucking hate niggers so goddamn much."" - Cool cos I fucking hate you so goddamn much too!",hispanic,True,False,False,30.0,woman,{},-0.5,black,5,5,5,5,5.0,1,liberal
9175691,4013,"So Tom called me ugly I said bitch where, he said under all that communism I said bitch I wilL FUCK YOU UP",aae,True,False,True,65.0,woman,{},0.5,white,5,5,5,5,5.0,1,conservative
24252197,1536,man these black sneaks are the worst,aae,False,True,True,30.0,man,{},-0.5,black,1,1,1,1,1.0,0,liberal
59678733,3527,"""""""This Jestxh idiot keeps riding me in dms, the kids a freak"""" -Scruffyy""",aae,False,False,True,45.0,woman,No i do not,0.5,white,1,2,4,3,3.5,1,conservative
52431532,3481,Y THESE BITCHES ACTIN LIKE I AINT NEVA BREEZE PAST EM!!!!,aae,True,False,True,30.0,man,{},0.0,white,1,1,2,2,2.0,0,neutral
49021087,1682,"I saw a clip of this absolute genius from blm today trying to justify their looting and stealing because, ""this country was stolen in the first place.....and george floyd"" idiot",white,False,True,False,25.0,man,{},-1.0,black,5,3,4,4,4.0,1,liberal
36400600,2151,"I made a big mistake calling them ""breeds"". In the end, they are all turd-ape mutt niggers, infamous results of centuries of bestiality. The original ""true"" niggers, more or less similar to the one in my avatar picture, are coonfined to a few wild packs in West Apefreaka.",white,True,True,False,25.0,woman,{},0.5,white,5,5,5,5,5.0,1,conservative
36344670,2185,"Her vanity is seriously out of control. And sharing London is the best city in the world? If she likes it so much then why doesnt she MOVE THERE! Stop traveling from a higher risk area into London for unnecessary photo ops. Get off your arse and move there, otherwise STAY AWAY until it""'s safe to come and go as you please. or just fuck off back to africa where other niggers like you can be weird together",white,True,True,False,45.0,man,none,0.5,white,5,5,5,5,5.0,1,conservative
45678981,4145,nigga I wish the fuck you would hit me so I could sue ya ugly ass :middle_finger_medium-light_skin_tone:,aae,True,False,True,50.0,woman,{},1.0,white,5,5,5,5,5.0,1,conservative
14271410,1727,if i am being honest Jordan is also a good contender too bad hes black,white,False,True,False,35.0,woman,{},0.5,white,4,5,5,5,5.0,1,conservative
10166032,4121,If this bitch don't get !!!!!! :joy::joy::joy::joy::joy: I stg she like 15 & wanna fuss with me !! :joy::joy::joy: me & the nigga crineee on ft at her silly ass ! :joy::joy::joy:,aae,True,False,True,45.0,man,{},0.0,black,5,1,4,4,4.0,1,neutral
68595278,1686,There is nothing more scary to black people than white people who are by default much smarter and more educated than them.,white,False,True,False,35.0,woman,{},-0.5,black,4,4,4,4,4.0,1,liberal
10166032,3251,Judge rules to allow 1st Title IX claim against Baylor - and negligence claims against frm Coach Art Briles & frm AD Ian McCaw - to proceed,aae,False,False,True,45.0,man,{},0.0,black,1,1,1,1,1.0,0,neutral
58008422,3552,Mothafuckas is out here sick as fuuuuuccccckkkkkkkkkkkk in the head lmmfaooooo,aae,False,False,True,60.0,man,,1.0,white,4,1,4,4,4.0,1,conservative
11150592,15,Why don't Max just stay in the kitchen?,white,False,False,False,25.0,man,{},-1.0,white,5,1,5,4,4.5,1,liberal
42267923,2187,A nigga was killed and zero fucking flying fucks were given by anyone,white,True,True,False,30.0,woman,{},1.0,black,5,3,5,5,5.0,1,conservative
69198055,1001,"the whole world was in awe at the disabled man with a phd and 3 masters degrees, proving that even if you're a retard you can get a piece of paper if you pay enough tuition",white,True,False,False,60.0,woman,none,0.5,white,5,3,5,5,5.0,1,conservative
85439177,978,Cairo Coons are friendly? Surely not!,aae,True,False,True,25.0,man,{},-1.0,white,1,1,1,1,1.0,0,liberal
74158862,3335,"""Jamice caption this picture *shows a picture from show* """"So u dressed like Sherlock Holmes but im embarrassing u?"""" Lmaooooo love her""",aae,False,False,True,45.0,man,NONE,1.0,black,4,3,2,3,2.5,0,conservative
10638687,1641,black people normally would not even bother engaging in these conversations because they know they are tough as a brick wall and cannot understand them,white,False,True,False,40.0,woman,{},-0.5,black,5,5,5,5,5.0,1,liberal
14105244,1597,"whats the point of voting or even democracy if a few dozen angry black election officials in philadelphia, detroit, milwaukee, and atlanta can decide the whole thing?",white,False,True,False,35.0,woman,{},0.5,white,3,3,4,3,3.5,1,conservative
10638687,3500,"You can get woken up by my system and bite your tongue, or you can get woken up, come outside all mad then get beat up too. Idgaf, ur call",aae,False,False,True,40.0,woman,{},-0.5,black,5,1,5,5,5.0,1,liberal
61283819,3365,"""""""Let them praise the name of the LORD: for his name alone is excellent; his glory is above the earth and heaven."""" ~Psalms 148:13 #Bible""",aae,False,False,True,35.0,man,,1.0,white,1,1,1,1,1.0,0,conservative
8526465,1536,man these black sneaks are the worst,aae,False,True,True,35.0,man,{},0.0,black,5,5,5,5,5.0,1,neutral
10166032,810,Hitler had plenty of good reasons to get rid of the jews...according to necessity of course.,white,False,False,False,45.0,man,{},0.0,black,5,5,5,5,5.0,1,neutral
18991638,2128,"If that ngr is clever enough to get his skinny ass into this country, he's competent enough to be held responsible for chimping out.",white,True,True,False,35.0,woman,"immigrant, black,",0.0,black,5,5,5,5,5.0,1,neutral
10638687,1823,"I've been to Italy a few times, and only saw two niggers in Venice.... some old dudes who were missing nearly all their teeth.. . I just don't go back to Venice.. problem solved.",white,True,True,False,40.0,woman,{},-0.5,black,5,5,5,5,5.0,1,liberal
14271410,3570,if someone trust you and send you nudes.. why expose them like that just because y'all fall out. that's FUCKED up!:100::middle_finger_medium-dark_skin_tone:,aae,True,False,True,35.0,woman,{},0.5,white,2,1,4,3,3.5,1,conservative
10638687,155,apparently Japan has accepted 28 refugees in the past years...28 is that it?,white,False,False,False,40.0,woman,{},-0.5,black,1,1,1,1,1.0,0,liberal
